,subject,title,sentiment
0,apple,apple iphone se 2022 review a modern phone with yesterdays design  the verge,0
1,apple,apple supplier foxconn forced to suspend operations in shenzhen due to lockdown  macrumors,-1
2,apple,apples new products raise as many questions as answers  macworld,-1
3,apple,app tracking transparency aimed to solve a problem of apples creation  appleinsider,-1
4,apple,buy jamf stock apple is at the core of the software companys appeal  barrons,1
5,apple,covid19 shuts down plants in china hitting apple supplier foxconn auto makers  the wall street journal,-1
6,apple,amazons 200 price cut on apples 14inch and 16inch macbook pro is back  appleinsider,0
7,apple,mac studio  apple,0
8,apple,norways central bank sells apple stock it bought nvidia plug power and nio  barrons,-1
9,apple,apple stock dump at 155 before it gets ugly  thestreet,-1
10,apple,apple aapl m2 pro max ultra chip plans imac mac pro macbook air details  bloomberg,0
11,apple,daily deals march 14 70 off apple smart keyboard for ipad 929 m1 macbook air 50 off samsung galaxy buds pro  more  appleinsider,0
12,apple,apple watch remained king of the smartwatch market in 2021  appleinsider,1
13,apple,apple introduces gorgeous new green finishes for the iphone 13 lineup  apple,1
14,apple,save 45 on this 2in1 portable apple watch charger a great onthego accessory  macworld,0
15,apple,kuo apples iphone 14 wont get a new chip but the pro models will use a16  imore,0
16,apple,apple and major league baseball to offer friday night baseball  apple,0
17,apple,apples chips are on the table  the verge,0
18,apple,apple announces a new cheaper iphone and baseball is coming to apple tv  barrons,1
19,apple,save up to 100 on apples recently discontinued ipad air 4 at amazon now  cnet,0
20,apple,apples airpods max are back on sale for 449  engadget,0
21,apple,meta finds a fitness pipeline in the apple ecosystem  emarketer,0
22,apple,apples next move far from certain  sports business journal,0
23,apple,i just bought my first apple watch  heres what i think so far  toms guide,0
24,apple,apples underdogs return to show how apple products power small businesses  appleinsider,1
25,apple,apple mac pro 2022 processor and release details exposed as extreme name expected by apple analyst  notebookchecknet,0
26,apple,exclusive apple currently has no plans to release a new largerscreen imac  9to5mac,0
27,apple,apple stops selling 27inch lg ultrafine 5k display  macrumors,0
28,apple,if your hospital suddenly feels more like an apple store or greenhouse biophilic design is why  fast company,0
29,apple,strava abruptly ends 3rd party data sync to apple health  dc rainmaker,-1
30,apple,tesla apple exxonmobil  reuterscom,0
31,apple,why apples logo has a bite taken out of it  howto geek,0
32,apple,evidence of m2 apple silicon chip spotted ahead of apple event on tuesday  macrumors,0
33,apple,apple the worlds leading company  the algorithm is short the stock  seeking alpha,-1
34,apple,apple halts all sales from online store in russia updated  macrumors,-1
35,apple,apples 3m thunderbolt cable is a good deal at 159 yes really  extremetech,0
36,apple,apple has to try hard now  the new york times,-1
37,apple,ukrainian minister has turned digital tools into modern weapons of war  the new york times,-1
38,apple,what is apple one a breakdown of plans pricing and included services  wired,0
39,apple,heres how you can get apples 5g iphone se for free with no tradein  phonearena,0
40,apple,four apple devices you shouldnt buy right now  new models are imminent  macrumors,0
41,apple,putins prewar moves against us tech giants laid groundwork for crackdown on free expression  the washington post,-1
42,apple,will apple or google slow sports betting on your phone  voxcom,0
43,apple,russia threatens to nationalize apple seize assets  imore,-1
44,apple,bumpy road ukraine war china week in review sp 500 apple on thin ice  realmoney,-1
45,apple,which new mac will apple release at its march event  macrumors,0
46,apple,this android app is better at finding unknown airtags than apples  screen rant,-1
47,apple,report apple exploring 20inch allscreen foldable macbook but foldable iphone delayed until 2025  macrumors,0
48,apple,i tried apples universal control feature for mac and ipad and its magical  the indian express,1
49,apple,apple is ungodly wellmanaged billionaire investor says  macrumors,1
50,apple,apple ceo tim cook tells employees the return to offices will begin on april 11th  the verge,0
51,apple,apples new iphone focus tool is causing missed notifications  voxcom,-1
52,apple,apple will soon offer face id repairs without replacing the entire iphone  macrumors,1
53,apple,apple imagines macinsideakeyboard device evocative of 80s home computers  macrumors,0
54,apple,why apples fight in the netherlands matters  the new york times,0
55,apple,apple stores employees make effort to unionize  the washington post,-1
56,apple,apple officially obsoletes first ipad with lightning connector  macrumors,0
57,apple,apple stores drop mask mandates plan return of instore classes  bloomberg,1
58,apple,apples 2022 ipad pro what to expect  macrumors,0
59,apple,trumps truth social tops downloads on apple app store many waitlisted  reuters,0
60,apple,apples worstcase scenario might be the best thing for the iphone  macworld,0
61,apple,hostage taker in amsterdam apple store dies of his injuries  reuters,-1
62,apple,report apple watch series 8 to include major updates to activity tracking and faster chips series 3 may finally be discontinued  9to5mac,0
63,apple,apple registers three new macs in eurasian database ahead of rumored march event  9to5mac,0
64,apple,apple stops product sales in russia adding to pressure from shippers car makers  reuters uk,-1
65,apple,apple reportedly completes production tests for arvr headset  macrumors,1
66,apple,apple finds itself under scrutiny in washingtons big tech clampdown  the wall street journal,-1
67,apple,apple files new macs in regulatory database ahead of rumored spring event  macrumors,0
68,apple,facebooks ad business struggles after apples ios changes  voxcom,-1
69,apple,i used apple airtags tiles and a gps tracker to watch my husbands every move  the new york times,0
70,apple,iphone 14 pro design reportedly finalized as suppliers begin trial production  macrumors,0
71,apple,could apples fintech move hurt block and paypal  the motley fool,0
72,apple,apple shareholders urged to vote against tim cooks 99mn pay package  financial times,0
73,apple,some russian bank customers have been cut off from apple pay and google pay  the verge,-1
74,apple,apple cofounder steve wozniaks investing process thoughts on crypto  business insider,0
75,apple,apple services enrich peoples lives throughout the year  apple,1
76,apple,apple announces self service repair  apple,1
77,apple,apple in 2021 the six colors report card  six colors  six colors,0
78,apple,apple events  october 2021  apple,0
79,apple,apple watch series 7  apple,0
80,apple,apple events  september 2021  apple,0
81,apple,apple sues nso group to curb the abuse of statesponsored spyware  apple,0
82,apple,apple announces first states to adopt drivers licenses and state ids in wallet  apple,0
83,apple,the reimagined apple the grove now open in los angeles  apple,0
84,apple,apple unveils gamechanging macbook pro  apple,1
85,apple,iphone 13 and iphone 13 mini  apple,0
86,apple,iphone 13 pro and iphone 13 pro max  apple,0
87,apple,apple announces third annual apple music award winners  apple,0
88,apple,macos monterey is now available  apple,0
89,apple,app store awards honor the best apps and games of 2021  apple,0
90,apple,ios 15 is available today  apple,0
92,apple,apple launches today at apple creative studios  apple,0
93,apple,apple fitness introduces collections and time to run starting january 10  apple,0
94,apple,apple marks a year of giving in the communities it calls home  apple,1
96,apple,apple unveils new resources for elementary school coding and inclusive app design  apple,1
97,apple,apple fitness will feature prince william on time to walk starting december 6  apple,0
98,apple,shareplay powers new ways to stay connected and share experiences in facetime  apple,0
0,amazon,the openear shokz openrun are 20 off at amazon  the verge,0
1,amazon,amazons charm offensive needs to expand  the wall street journal,0
2,amazon,the inse cordless vacuum cleaner is on sale at amazon  peoplecom  people,0
3,amazon,amazon deal of the day 700 off sony 4k televisions  wdsu new orleans,0
4,amazon,this vaccine card and passport holder is under 10 at amazon  peoplecom  people,0
5,amazon,the amazon rainforest may be reaching a point of no return  mother jones  mother jones,-1
6,amazon,amazon misses trump badly  the new republic,0
7,amazon,suspicious calls from amazon what should you do  whnt news 19,0
8,amazon,intel evo week on amazon  mashable,0
9,amazon,apples 16inch macbook pro is 200 less than usual on amazon  engadget,0
10,amazon,the 8 best dslr cameras for beginners and pros to buy on amazon  new york post,0
11,amazon,saturday night live takes a jab at amazon go stores in what may be its best commercial parody yet  sf gate,0
12,amazon,tile bluetooth trackers are up to 20 percent off on amazon right now  engadget,0
13,amazon,save on some of the latest ea titles on pc at amazon today  vg247,0
14,amazon,costco quietly catches up to amazon walmart in one key area  thestreet,-1
15,amazon,amazon fashion lets you shop your influencers favorite items  huffpost,0
16,amazon,steinberger leaves comixology to head new amazon initiative  publishers weekly,0
17,amazon,transform your bathroom into a spa with these under50 accessories from amazon  huffpost,0
18,amazon,10 trending amazon march 2022 products and deals  people,0
19,amazon,fleabag exec lydia hampson joins sister  signs firstlook amazon deal  deadline,0
20,amazon,amazon fulfillment center in delta twp wont open this fall  lansing state journal,-1
21,amazon,beckham hotel collection bed pillows are on sale at amazon  peoplecom  people,0
22,amazon,amazon selects wilmington univ for employee education effort  delaware first media,0
23,amazon,take alexa onthego with amazon echo buds 2 at 85 frames at 160 and more from 20  9to5toys,0
24,amazon,maersk among amazon climate pledges 100 new signatories  sourcing journal  sourcing journal,0
25,amazon,amazons share of us ecommerce sales hits alltime high of 567 in 2021  pymntscom,1
26,amazon,shoppers say these stylish rain boots last for years and theyre just 30 on amazon  people,0
27,amazon,15 bestselling products on amazon that will help you adjust to daylight savings  e news,0
28,amazon,amazon nashville hosts first hack tennessee event  wsmv 4,0
29,amazon,amazons block on russia suspends shipments prime video streaming and new world mmo purchases  the verge,-1
30,amazon,amazon relocates staff from seattle office amid rise in violent crime  business insider,-1
31,amazon,of the home items most added to amazon wish lists these 45 are the most clever  mic,0
32,amazon,house panel calls for criminal investigation into amazon  the new york times,-1
33,amazon,amazons secret overstock outlet is packed with massive furniture discounts  up to 62 off  people,0
34,amazon,the 10 best books to read in march according to amazon book editors  business insider,0
35,amazon,amazon luna retro channel what games does it have  dot esports,0
36,amazon,kirk herbstreit joining amazon as thursday night football analyst  new york post,0
37,amazon,amazon to shut its bookstores and other shops as its grocery chain expands  reuterscom,0
38,amazon,aws backup for amazon s3 generally available  infoqcom,0
39,amazon,blinks latest outdoor floodlight cam and solar kits return to amazon lows at 90 save 36  9to5toys,0
40,amazon,lizzo talks twerking selflove and her new amazon show at sxsw  wwd,0
41,amazon,amazon driver shot middelivery speaks out against company policy  bloomberg,-1
42,amazon,ninjas cold press pro juicer falls back down to amazon alltime low at 100  more from 64  9to5toys,0
43,amazon,unofficial lineageos 181 brings android tv 11 to the thirdgen amazon fire tv stick lineup  xda developers,0
44,amazon,you can now use amazon alexa on the latest fossil and skagen smartwatches  phonearena,0
45,amazon,general electric amazon and the new wave of stock buybacks  barrons,0
46,amazon,meet jamaican ceo cori gordon one of amazons youngest delivery service partners  black enterprise,0
47,amazon,amazon launches a clubhouse competitor that turns everyone into a dj  the verge,0
48,amazon,tuft  needle mattress deals  amazon deal of the day march 14 2022  wmur manchester,0
49,amazon,amazon and tesla are likely to reverse a decades worth of xlys gains  seeking alpha,-1
50,amazon,radio drama for a podcast age how amazons audible moved into theater  the new york times,0
51,amazon,amazon amzn faces new problems while jeff bezos flies to space  bloomberg,-1
52,amazon,amazon is reportedly using chinese suppliers with ties to forced labor  the verge,-1
53,amazon,worry of amazon exit fees makes delivery contractor feel trapped report  business insider,-1
54,amazon,what time is master coming to prime video  amazon adviser,0
55,amazon,this is the apple airpods pro deal youve been waiting for  theyre 59 off at amazon  yahoo life,0
56,amazon,amazon is turning grocerypicking gig workers into whole foods employees as delivery demand booms  cnbc,1
57,amazon,lessons in success at amazon games  techradar,1
58,amazon,how much is starz cost per month sales deals with hulu amazon prime  stylecaster,0
59,amazon,the boys star karl urban confirms season 4 filming before amazons official reveal  comicbookcom,0
60,amazon,amazon opens a whole foods with the next step in automation  the new york times,1
61,amazon,the toppin hepa air purifier is 38 off at amazon  peoplecom  people,0
62,amazon,best alternatives to amazon prime perks 2022 twoday shipping grocery deliveries  wired,0
63,amazon,seller caught in the middle between amazon and ups  ecommercebytes,0
64,amazon,we get ready for camping season with the amazon japans lowestrated wooden mug  soranews24,0
65,amazon,all teams qualified for amazon european masters 2022 spring  dot esports,0
66,amazon,shopify makes a key move to compete with amazon walmart  thestreet,0
67,amazon,amazons going to nollywood  and its deals with studios could shake up one of the worlds most prolific filmmaking hubs  cnn,1
68,amazon,does this amazon rock art depict extinct ice age mammals  the new york times,0
69,amazon,the data game what amazon knows about you and how to stop it  the guardian,-1
70,amazon,amazon moves to force ftc antitrust decision on mgm deal  the wall street journal,-1
71,amazon,is amazon prime worth it  clarkcom  clark howard,0
72,amazon,amazon accused of violating us labor law after union supporters arrests  reuters,-1
73,amazon,amazon is planning to open its first fashion storefront  heres what itll look like  cnbc,0
74,amazon,amazon labor push escalates as workers at new york warehouse win a union vote  npr,-1
75,amazon,amazon sues two companies that allegedly help fill the site with fake reviews  cnbc,-1
76,amazon,amazon accepts visa credit cards in global truce over fees  reuterscom,0
77,amazon,amazon suspends black lives matter from its charity platform  new york post,-1
78,amazon,amazons sprawling grocery business has become an expensive hobby with a cloudy future  cnbc,-1
79,amazon,amazon astro the home robot with wheels is now in homes  and people are showing off what it can do  the verge,0
80,amazon,nasdaq halts trading in russian amazon as ozon stock crashes  forbes,-1
81,amazon,will amazon stock climb 52  thestreet,0
82,amazon,amazons the rings of power 10 burning questions  vanity fair,0
83,amazon,dmitri m johnsons dj2 entertainment to adapt video games for tv under firstlook deal with amazon studios  deadline,0
84,amazon,fallout tv series at amazon casts walton goggins  variety,0
85,amazon,amazoncom announces fourth quarter results  amazoncom inc  press room  amazon press release,0
86,amazon,deadly collapse at amazon warehouse puts spotlight on phone ban  bloomberg,-1
87,amazon,amazon hikes average us starting pay to 18 hires for 125000 jobs  reuters,1
88,amazon,amazon settles with nlrb to give workers the power to organize  npr,0
89,amazon,amazon plans to open large retail locations akin to department stores  the wall street journal,0
90,amazon,the best amazon cyber monday 2021 deals you can still shop on apple irobot and more  usa today,0
91,amazon,amazon cloud outage hits major websites streaming apps  reuters,-1
92,amazon,amazon is opening a clothing store next to nordstrom and jc penney  cnn,0
93,amazon,what happened to amazons bookstore  the new york times,0
94,amazon,amazon takes lead in talks for nfl media stake  front office sports,1
95,amazon,amazon copied products and rigged search results documents show  reuterscom,-1
96,amazon,italy fines amazon record 13 bln for abuse of market dominance  reuters,-1
97,amazon,amazon rolls out its telehealth service nationwide  cnbc,1
98,amazon,amazon warehouse workers get to redo their union vote in alabama  npr,0
0,microsoft,microsoft teams turns five whats next  zdnet,0
1,microsoft,altigen acquires microsoft software partner zaact consulting  channele2e,0
2,microsoft,microsoft pi day 2022 sale  deals on laptops tablets gaming and more  laptop mag,0
3,microsoft,a microsoft employee quit then the company completely broke the rules  zdnet,-1
4,microsoft,microsoft discourages corporate travel by raising own carbon fee 600 percent  skift,0
5,microsoft,microsoft weve given officecom this big update  zdnet,0
6,microsoft,microsoft azure takes major step toward scalable quantum computing  windows central,1
7,microsoft,zelensky presses companiesmicrosoft sap and oracleto punish russia more  forbes,-1
8,microsoft,microsoft suspends new sales in russia  microsoft on the issues  microsoft,-1
9,microsoft,colt and audiocodes partner to deliver microsoft operator connect  yahoo finance,0
10,microsoft,how to build a table of contents in microsoft word  digital trends,0
11,microsoft,microsoft delivers a solid lowimpact patch tuesday  computerworld,1
12,microsoft,microsoft completes acquisition of nuance ushering in new era of outcomesbased ai  stories  microsoft,1
13,microsoft,how to fix microsoft edge critical error  thewindowsclub,0
14,microsoft,microsoft is experimenting with ads in the windows 11 file explorer  thurrottcom  thurrottcom,0
15,microsoft,flsmidth signs digital acceleration agreement with microsoft  international mining,0
16,microsoft,how to use collections on microsoft edge  muo  makeuseof,0
17,microsoft,how to stop microsoft word opening files in readonly mode in windows  muo  makeuseof,0
18,microsoft,microsoft how do they keep expanding margins  seeking alpha,0
19,microsoft,how to add page numbers in microsoft word  digital trends,0
20,microsoft,where to download microsoft word excel powerpoint for windows  thewindowsclub,0
21,microsoft,microsoft recommends xbox series xs players use its updated energy saver mode  news9 live,0
22,microsoft,how to insert a signature into microsoft word  digital trends,0
23,microsoft,microsoft removes windows 11 update block for virtualbox users  bleepingcomputer,0
24,microsoft,digital technology and the war in ukraine  microsoft on the issues  microsoft,0
25,microsoft,microsofts wenatchee valley data center begins to take shape  the seattle times,1
26,microsoft,considering microsoft 365 what you need to know  techrepublic,0
27,microsoft,microsoft ea and gearbox sign open letter opposing antitrans texas bill  nme,0
28,microsoft,the 8 best vpn addons for microsoft edge  muo  makeuseof,0
29,microsoft,microsoft for startups founders hub now open to all  no funding needed  the official microsoft blog  microsoft,0
30,microsoft,amazon microsoft and google have suspended cloud sales in russia  techcrunch,-1
31,microsoft,microsoft details its steam deck support for xbox game studios titles  the verge,0
32,microsoft,microsoft and openai method could make training large neural networks cheaper  the register,1
33,microsoft,microsoft security delivers new multicloud capabilities  microsoft,1
34,microsoft,microsoft cfo amy hood says pandemic showed the importance of windows  cnbc,1
35,microsoft,new microsoft teams apps eliminate an obvious advantage for zoom  techradar,0
36,microsoft,microsoft testing support for free calls to ukraine through skype  windows central,0
37,microsoft,the anatomy of a datacenterhow microsofts datacenter hardware powers the microsoft cloud  microsoft,0
38,microsoft,microsoft idxbox showcase set for march 16  thegamer,0
39,microsoft,datto  defend and protect your microsoft teams data with datto  marketscreenercom,0
40,microsoft,why decentralization is the future of digital identities  microsoft,0
41,microsoft,microsoft bought this mans startup for over 100 million then he got really unhappy  cnbc,0
42,microsoft,cirque du soleil brings insects to microsoft theater  la downtown news online,0
43,microsoft,windows 12 is everything windows 11 should be  and the microsoft operating system we need  betanews,0
44,microsoft,heres how you can dualboot windows 11 on the microsoft surface duo  xda developers,0
45,microsoft,how to download microsoft family for windows 11  windowsreportcom,0
46,microsoft,microsoft pushes optional type annotations for javascript  reseller news,0
47,microsoft,why the biggest laptop vendors are ignoring microsofts pluton security tech  pcworld,0
48,microsoft,microsoft among best firms to work for despite ceo making 410 times average salary  city am,1
49,microsoft,clipchamp is microsofts new video editing app for windows 11  the verge,0
50,microsoft,in twenty years microsoft has only sold 23 million xboxes in japan  kotaku,-1
51,microsoft,microsoft apple among top tech stocks to buy amid selloff wedbush  seeking alpha,1
52,microsoft,the next chapter of our hybrid workplace update on our washington state work sites  the official microsoft blog  microsoft,0
53,microsoft,the two studios apple mac studio vs microsoft surface studio  screen rant,0
54,microsoft,microsoft and partners join forces to boost rural broadband in malaysia  channel asia singapore,1
55,microsoft,microsofts latest windows patches fix the bug causing user data not to be erased  zdnet,0
56,microsoft,microsoft to remove rt apps ban russian stateowned media ads  reuters,0
57,microsoft,microsofts return puts focus on workers who are skipping the office  yahoo finance,0
58,microsoft,12 african startups chosen for microsoftbacked fast accelerator  disrupt africa,0
59,microsoft,how to copy conditional formatting in microsoft excel  howto geek,0
60,microsoft,microsoft is on a buying binge heres what it could buy next  cnn,0
61,microsoft,review microsofts surface laptop studio is unique fun and sometimes brilliant  newshub,1
62,microsoft,explainer will big tech cloud companies cut off russia  reuters,0
63,microsoft,is microsoft to blame for duckduckgo censoring russian search results  betanews,0
64,microsoft,great deals on microsoft office windows 11 during keysfan special deal sale  dot esports,0
65,microsoft,us stocks amazon alphabet apple tesla meta square microsoft jpm bac elliott wave video  fxstreet,0
66,microsoft,microsoft supports african startups with 500m funding  graphic online,1
67,microsoft,microsoft gaming ceo phil spencer is aiming for a steady flow of great games  kotaku australia,1
68,microsoft,microsoft quietly released a little feature and suddenly it caused outrage  zdnet,-1
69,microsoft,microsoft announces intent to establish india datacenter region in hyderabad  microsoft stories india  microsoft,0
70,microsoft,the zacks analyst blog highlights microsoft amazoncom nvidia abbvie and hsbc holdings  yahoo finance,0
71,microsoft,windows 11 pro will soon require a microsoft account  the verge,0
72,microsoft,report microsofts activision blizzard deal being investigated for insider trading  ign  ign,-1
73,microsoft,microsofts chilling new update may frighten everyone who thinks theyre funny  zdnet,-1
74,microsoft,microsoft teams now has new 3d emoji  the verge,0
75,microsoft,microsofts xbox app now lets you install pc games to any folder  the verge,0
76,microsoft,microsoft to remove altspacevr social hubs and tighten up safety and moderation  the verge,0
77,microsoft,keyboard and mouse support is coming to microsofts xbox cloud gaming service  engadget,0
78,microsoft,forza horizon 5 introduces sign language support throughout ingame scenes  stories  microsoft,0
79,microsoft,microsoft corp stock rises wednesday outperforms market  marketwatch,1
80,microsoft,former xamarin cofounder miguel de icaza is leaving microsoft  zdnet,0
81,microsoft,save 240 on microsofts surface pro 8 the best windows tablet  pcworld,0
82,microsoft,why apple amd microsoft and nvidia shares are falling today  benzinga  benzinga,-1
83,microsoft,will activision blizzard workers unionize microsofts deal complicates things  npr,-1
84,microsoft,apple vs microsoft stock which is the better buy  seeking alpha,0
85,microsoft,microsoft rolls out access to the amazon appstore preview in windows 11  techcrunch,0
86,microsoft,where apple amazon alphabet meta and microsoft shares now stand  realmoney,0
87,microsoft,valve has no plans for a steam pass but would help microsoft put game pass on steam  pc gamer,0
88,microsoft,new malware capable of controlling social media accounts infects 5000 machines and is actively being distributed via gaming applications on microsofts official store  check point research,-1
89,microsoft,happy 20th anniversary net  net blog  microsoft,0
90,microsoft,how microsoft us president deb cupp levels the playing field for women in the workplace  nasdaq,1
91,microsoft,amd intel microsoft nvidia halt sales to russia  pcworld,0
92,microsoft,buffetts berkshire bought about 1 billion worth of activision shares before microsoft deal  cnbc,0
93,microsoft,why amazon meta platforms and microsoft shares are falling today  benzinga  benzinga,-1
94,microsoft,hackers slip into microsoft teams chats to distribute malware  bleepingcomputer,-1
95,microsoft,fallout new vegas 2 is reportedly in very early talks at microsoft  video games chronicle,0
96,microsoft,microsoft edge has nearly toppled a major rival in the desktop browser war  techradar,1
97,microsoft,new surface laptop studio  infinitely flexible  microsoft surface  microsoft,0
98,microsoft,microsoft to acquire activision blizzard to bring the joy and community of gaming to everyone across every device  stories  microsoft,1
99,microsoft,microsoft unveils windows 365  ushering in a new category of computing  stories  microsoft,0
0,google,google forces youtube vanced to shut down due to legal reasons  the verge,-1
1,google,eu uk to investigate google and meta for ad tech antitrust violation  emarketer,-1
2,google,review sentiment is it a google ranking factor  search engine journal,0
3,google,best allinone search apps  fast company,0
4,google,google to make changes to apps after tcd study finds privacy issues  the irish times,-1
5,google,google fiber now offering internet for businesses in kansas city  kshb 41 kansas city news,0
6,google,what google search isnt showing you  the new yorker,0
7,google,google contacts adds a bottom bar all while retaining its hamburger menu  android police,0
8,google,why did google acquire mandiant  analytics india magazine,0
9,google,google chief measurement strategist pens converted a howto for adopting lifetime value metrics  adexchanger,0
10,google,google profiting from predatory loan adverts promising instant cash  the guardian,-1
11,google,this week in apps war and the app economy googles messages update telegram tv  techcrunch,0
12,google,hey google pay for my parking feature is live  techcrunch,0
13,google,google details its latest big android feature drop  the verge,0
14,google,google improves android message management  techtarget,1
15,google,google takeout will get more ways to securely transfer files across different services  the verge,1
16,google,google may surface more shortform video in search results  search engine journal,0
17,google,google suspends all ad sales in russia as censorship demands grow  reuters,0
18,google,google wins court battle with genius over song lyrics  the verge,1
19,google,google launches automated vehicle ads  search engine land,0
20,google,schema markup is it a google ranking factor  search engine journal,0
21,google,how to get google to pay for your data analytics training  fortune,0
22,google,googles android 12l officially launches will come to select devices this year  techcrunch,0
23,google,googles cto of android tablets sees tablet sales passing laptops in the not too distant future  the verge,0
24,google,google will send air raid alerts to android phones in ukraine  the verge,0
25,google,google opens beta for future pixel feature drops  the verge,0
26,google,when my heart broke my father used google to save me  the new york times,1
27,google,apple google ikea and others urge texas to drop transgender policy  axios,0
28,google,how google search console tracks people also ask performance data  search engine journal,0
29,google,google plans privacy changes but promises to not be disruptive  the new york times,0
30,google,googles art  culture platform updated with documents artifacts and music from timbuktu  techcrunch,0
31,google,google tells employees in bay area and other us locations to return to offices in april  cnbc,0
32,google,google hints at windows games running on stadia  the verge,0
33,google,googles new manhattan groundscraper bets on the future of the office  the new yorker,0
34,google,google dupes diners sidelines restaurants for delivery profits  lawsuit  reuters,-1
35,google,bill aims to rein in apple google app stores  illinois newsroom,-1
36,google,www vs nonwww is it a google ranking factor  search engine journal,0
37,google,lee anderson mp settles with google over child abuse advert  bbccom,-1
38,google,how google search personalization works professors and politicians just dont understand  search engine land,0
39,google,google and twitter try to help women who face online attacks  bloomberg,0
40,google,google says chrome on macos is now faster than safari  techcrunch,0
41,google,googles latest pixel update includes a feature that lets you type responses during calls and more  techcrunch,1
42,google,5 things your google data studio ppc dashboard must have  search engine land,0
43,google,spelling  grammar is it a google ranking factor  search engine journal,0
44,google,how to connect your robot vacuum to google home for google assistant voice control  the verge,0
45,google,here are the most searched jobs in austin according to google  kxancom,0
46,google,googles new soli radar tech can read your body languagewithout cameras  wired,0
47,google,south korea approves rules on app store law targeting apple google  reuters,-1
48,google,bt selects google cloud as strategic partner for groupwide data and ai transformation  google cloud,1
49,google,looks like googles on an audio startup buying spree  the verge,1
50,google,vive 2022 google health expands ai capabilities of care studio to organize patient data  fiercehealthcare,1
51,google,are xml sitemaps a google ranking factor  search engine journal,0
52,google,googles topics api raises more questions than answers  adexchanger,0
